no,Name,COUNTYNAME,TOWNNAME,x,y
AS_0001,Ariputon,南投縣,信義鄉,120.886418,23.60682081
AS_0002,Bahawawan,南投縣,仁愛鄉,121.1835998,24.16204509
AS_0003,Bulaii,南投縣,仁愛鄉,121.0959274,23.97566076
AS_0004,Buon Ⅰ,南投縣,仁愛鄉,121.1566161,24.15825697
AS_0005,Buon Ⅱ,南投縣,仁愛鄉,121.1628161,24.15574171
AS_0006,Danginon,南投縣,仁愛鄉,121.0679329,23.9328435
AS_0007,Debusung,南投縣,仁愛鄉,121.1624526,24.1241053
AS_0008,Demou,南投縣,仁愛鄉,121.0758087,23.9358867
AS_0009,Dolowag,南投縣,仁愛鄉,121.166082,24.02331102
AS_0010,Duannan,南投縣,仁愛鄉,121.1872062,24.05858586
AS_0011,Eulausan,南投縣,信義鄉,120.9284414,23.56141165
AS_0012,Geig Ⅰ,南投縣,仁愛鄉,121.1688987,24.13951376
AS_0013,Geig Ⅱ,南投縣,仁愛鄉,121.1722717,24.14308968
AS_0014,Gonau Ⅰ,南投縣,仁愛鄉,121.1627967,24.12840415
AS_0015,Gonau Ⅱ,南投縣,仁愛鄉,121.1587612,24.12460287
AS_0016,Gonau Ⅲ,南投縣,仁愛鄉,121.155116,24.12042233
AS_0017,Hanibai,南投縣,仁愛鄉,121.0985014,23.97157134
AS_0018,Hinoqon 社,南投縣,信義鄉,121.0604745,23.74136628
AS_0019,Hinoqon 駐在所,南投縣,信義鄉,121.059676,23.73743181
AS_0020,Honko 社,南投縣,信義鄉,121.0193755,23.62597484
AS_0021,Hosa,南投縣,信義鄉,120.8908313,23.58302737
AS_0022,I-Lito 社,南投縣,信義鄉,121.0094709,23.69779005
AS_0023,Imuso 社,南投縣,信義鄉,120.9994095,23.79027285
AS_0024,Imutsu 社,南投縣,信義鄉,121.0157351,23.57675813
AS_0025,Isingan 社,南投縣,信義鄉,120.9482426,23.78501623
AS_0026,Lahulan 社,南投縣,信義鄉,121.0670281,23.76321473
AS_0027,Lalu,南投縣,魚池鄉,120.911274,23.85561956
AS_0028,Lolona 中坡,南投縣,信義鄉,120.8798889,23.62996446
AS_0029,Lolona 坡上,南投縣,信義鄉,120.8678224,23.62699659
AS_0030,Lolona 坡下,南投縣,信義鄉,120.8791234,23.638983
AS_0031,Maganu,南投縣,仁愛鄉,121.1216553,23.96686913
AS_0032,Maroi,南投縣,仁愛鄉,121.124014,23.97054534
AS_0033,Melepa 社,南投縣,仁愛鄉,121.1760056,24.15016334
AS_0034,Memuyeau Ⅰ,南投縣,仁愛鄉,121.1579603,24.11997391
AS_0035,Memuyeau Ⅱ,南投縣,仁愛鄉,121.1597549,24.12107962
AS_0036,Mogin,南投縣,仁愛鄉,121.1695712,24.13834594
AS_0037,Molosal,南投縣,仁愛鄉,121.1282581,23.97344197
AS_0038,Moyeao,南投縣,仁愛鄉,121.1683042,24.1424307
AS_0039,Nogan,南投縣,仁愛鄉,121.0715459,23.93988798
AS_0040,Pakiyana,南投縣,信義鄉,120.8843438,23.60987135
AS_0041,Parlan 社鞍部中腹,南投縣,仁愛鄉,121.1262203,24.00869008
AS_0042,Pisipazan,南投縣,信義鄉,120.9091028,23.76184274
AS_0043,Pisitevoan 社,南投縣,信義鄉,121.0230934,23.69065395
AS_0044,Qainogo,南投縣,信義鄉,121.0199723,23.80599059
AS_0045,Qalmot 社,南投縣,信義鄉,121.1651176,23.71796426
AS_0046,Qanitoan 社,南投縣,信義鄉,121.0939905,23.75468396
AS_0047,Qanitoan 社,南投縣,信義鄉,121.0920849,23.74833746
AS_0048,Qatongulan 社,南投縣,信義鄉,121.0316237,23.71491035
AS_0049,Qowas,南投縣,信義鄉,120.9681477,23.79365093
AS_0050,Qowas 坡上,南投縣,信義鄉,120.96578,23.79566642
AS_0051,Rugu,南投縣,仁愛鄉,121.1992264,24.07553937
AS_0052,Saiku,南投縣,信義鄉,120.9085436,23.57181752
AS_0053,Saliton,南投縣,信義鄉,120.9009368,23.76986432
AS_0054,Sana Sana,南投縣,信義鄉,120.9171947,23.560554
AS_0055,Sana Sana 下,南投縣,信義鄉,120.9169841,23.56193834
AS_0056,Sebayan,南投縣,仁愛鄉,121.1573979,24.1163139
AS_0057,Seugun Ⅰ,南投縣,仁愛鄉,121.1700663,24.13701751
AS_0058,Seugun Ⅱ,南投縣,仁愛鄉,121.1682905,24.13593593
AS_0059,Shou,南投縣,仁愛鄉,121.1667058,24.13162285
AS_0060,Sibudut,南投縣,仁愛鄉,121.1722499,24.15041633
AS_0061,Snugi,南投縣,仁愛鄉,121.2204629,24.08706784
AS_0062,Subu,南投縣,仁愛鄉,121.2188388,24.08538458
AS_0063,Tabuluk,南投縣,仁愛鄉,121.0761446,23.95122914
AS_0064,Takolan,南投縣,信義鄉,120.9213058,23.56604245
AS_0065,Talienkoan,南投縣,魚池鄉,120.9205139,23.84818374
AS_0066,Tarowan 社,南投縣,仁愛鄉,121.1703692,24.02469154
AS_0067,Tatapancou,南投縣,信義鄉,120.8892969,23.61376358
AS_0068,Tavaxoan 社,南投縣,信義鄉,120.9455578,23.79534503
AS_0069,Teisiyan,南投縣,仁愛鄉,121.0764375,23.94531096
AS_0070,Telusan 社,南投縣,信義鄉,121.1432271,23.72115793
AS_0071,Telusan 社,南投縣,信義鄉,121.1432239,23.72511649
AS_0072,Tomasapa,南投縣,仁愛鄉,121.1968453,24.07185298
AS_0073,Toroko 社,南投縣,仁愛鄉,121.2193667,24.08390505
AS_0074,Toutza Ⅰ,南投縣,仁愛鄉,121.1905792,24.05975137
AS_0075,Toutza Ⅱ,南投縣,仁愛鄉,121.1902009,24.06094686
AS_0076,Toutza Ⅲ,南投縣,仁愛鄉,121.1913436,24.06183604
AS_0077,Uvaxo 社,南投縣,信義鄉,121.0264009,23.65634861
AS_0078,Vaqdats 社,南投縣,信義鄉,121.0017263,23.80909348
AS_0079,Wayeou,南投縣,仁愛鄉,121.152332,24.11244382
AS_0080,Yayun,南投縣,仁愛鄉,121.0864882,23.96237644
AS_0081,七股,南投縣,草屯鎮,120.7296953,23.96449816
AS_0082,九層坑,南投縣,信義鄉,120.8702558,23.68323445
AS_0083,九龍口,南投縣,魚池鄉,120.9206557,23.87155632
AS_0084,二坪仔上階地,南投縣,草屯鎮,120.7456022,23.97606942
AS_0085,二坪仔下階地,南投縣,草屯鎮,120.7430976,23.97943378
AS_0086,人倫社,南投縣,信義鄉,120.8977787,23.7807508
AS_0087,人倫橋畔,南投縣,水里鄉,120.8715946,23.78003324
AS_0088,八股山,南投縣,埔里鎮,120.9541866,24.02213314
AS_0089,八張莊,南投縣,集集鎮,120.7943029,23.82516384
AS_0090,十八張,南投縣,南投市,120.6929936,23.91427868
AS_0091,十股,南投縣,草屯鎮,120.7773296,23.98727691
AS_0092,卜吉社,南投縣,魚池鄉,120.9304318,23.84854302
AS_0093,卜吉社上方,南投縣,魚池鄉,120.9356823,23.84597129
AS_0094,三條崙,南投縣,埔里鎮,120.9477563,24.0273651
AS_0095,三層崎,南投縣,草屯鎮,120.7490904,23.97393961
AS_0096,上楓子林,南投縣,集集鎮,120.7607188,23.82811579
AS_0097,下雙冬,南投縣,草屯鎮,120.789316,23.98442558
AS_0098,久美,南投縣,信義鄉,120.892123,23.61972501
AS_0099,土地公鞍嶺,南投縣,水里鄉,120.8698965,23.8145286
AS_0100,土地公鞍嶺,南投縣,水里鄉,120.8696036,23.8132959
AS_0101,土亭仔,南投縣,魚池鄉,120.9225051,23.85299948
AS_0102,土場,南投縣,信義鄉,120.8946181,23.61926613
AS_0103,大石村,南投縣,國姓鄉,120.8624909,23.98269976
AS_0104,大石股,南投縣,國姓鄉,120.8608746,23.99237797
AS_0105,大坪頂,南投縣,集集鎮,120.7470265,23.83957029
AS_0106,大林 Ⅰ,南投縣,魚池鄉,120.9517192,23.88118376
AS_0107,大林 Ⅱ,南投縣,魚池鄉,120.9482487,23.87726805
AS_0108,大邱園,南投縣,集集鎮,120.8030536,23.83318867
AS_0109,大馬璘,南投縣,埔里鎮,120.9457176,23.97177206
AS_0110,大旗尾北面山,南投縣,國姓鄉,120.8619376,24.05062449
AS_0111,大旗尾東面山,南投縣,國姓鄉,120.8696572,24.04596583
AS_0112,小半山,南投縣,南投市,120.6595404,23.94420131
AS_0113,小埔社,南投縣,埔里鎮,120.9550181,24.02961701
AS_0114,山坪頂下台地,南投縣,竹山鎮,120.6778864,23.67524806
AS_0115,干卓萬,南投縣,仁愛鄉,121.0741269,23.92808041
AS_0116,弓鞋,南投縣,名間鄉,120.6320696,23.84175805
AS_0117,中心崙,南投縣,埔里鎮,120.987268,23.95918775
AS_0118,中坑,南投縣,埔里鎮,121.0073693,23.9229201
AS_0119,丹大社,南投縣,信義鄉,121.1445807,23.70885869
AS_0120,五十壟,南投縣,草屯鎮,120.7698143,23.98541706
AS_0121,內茅埔,南投縣,信義鄉,120.8454163,23.69001935
AS_0122,內埔,南投縣,埔里鎮,121.0100711,23.98841847
AS_0123,內轆,南投縣,南投市,120.6865997,23.9343382
AS_0124,天心宮 Ⅰ,南投縣,竹山鎮,120.6484031,23.64620481
AS_0125,天心宮 Ⅱ,南投縣,竹山鎮,120.6456768,23.64510208
AS_0126,太平山,南投縣,集集鎮,120.8234527,23.83019121
AS_0127,屯田,南投縣,集集鎮,120.7932577,23.83491671
AS_0128,木屐蘭,南投縣,魚池鄉,120.968495,23.88856446
AS_0129,木屐蘭,南投縣,魚池鄉,120.9661585,23.88732317
AS_0130,水車頂,南投縣,竹山鎮,120.7404306,23.80709876
AS_0131,水里．下莊仔,南投縣,水里鄉,120.883324,23.80395873
AS_0132,水里．中莊仔,南投縣,水里鄉,120.8824323,23.80126772
AS_0133,水里．社子,南投縣,水里鄉,120.8583011,23.80370655
AS_0134,水里．苗圃,南投縣,水里鄉,120.8730814,23.7877272
AS_0135,水里．龜子頭,南投縣,水里鄉,120.8360282,23.80387951
AS_0136,水里國中,南投縣,水里鄉,120.8582232,23.8095108
AS_0137,水社,南投縣,魚池鄉,120.9031082,23.8575042
AS_0138,水長流葉厝,南投縣,國姓鄉,120.8783463,24.0600529
AS_0139,水蛙堀(埔里第 29 地點),南投縣,埔里鎮,120.9531744,24.00032683
AS_0140,水蛙頭,南投縣,魚池鄉,120.9365371,23.85791705
AS_0141,水裡坑,南投縣,水里鄉,120.8535755,23.81886057
AS_0142,水頭,南投縣,埔里鎮,120.9773761,23.94057141
AS_0143,牛城,南投縣,草屯鎮,120.760751,23.99568522
AS_0144,牛洞,南投縣,埔里鎮,120.9669533,23.93268797
AS_0145,牛相觸,南投縣,埔里鎮,120.9376358,23.96377282
AS_0146,牛眠山,南投縣,埔里鎮,120.9806737,23.99481817
AS_0147,牛湖,南投縣,竹山鎮,120.7066324,23.75760439
AS_0148,牛轀轆,南投縣,水里鄉,120.8648105,23.78337785
AS_0149,他里溫,南投縣,竹山鎮,120.7135502,23.79785781
AS_0150,北港村,南投縣,國姓鄉,120.9116234,24.06074864
AS_0151,北勢坑,南投縣,集集鎮,120.8006996,23.84133825
AS_0152,半天寮,南投縣,竹山鎮,120.7249283,23.75603471
AS_0153,卡社,南投縣,信義鄉,121.0417892,23.79904945
AS_0154,史港,南投縣,埔里鎮,120.9574418,24.00996392
AS_0155,外坪,南投縣,信義鄉,120.8923503,23.58060782
AS_0156,外埔子,南投縣,竹山鎮,120.7115514,23.7870488
AS_0157,打剪,南投縣,國姓鄉,120.8547753,23.98996798
AS_0158,本部溪,南投縣,埔里鎮,121.055601,24.00106589
AS_0159,玄光寺下方,南投縣,魚池鄉,120.91316,23.85208091
AS_0160,田寮園,南投縣,集集鎮,120.7461818,23.83266761
AS_0161,白狗,南投縣,仁愛鄉,121.169636,24.12868749
AS_0162,石灼子,南投縣,草屯鎮,120.7944805,23.99094243
AS_0163,石門,南投縣,國姓鄉,120.8580711,24.03943329
AS_0164,石珠頂,南投縣,埔里鎮,120.9473934,23.96479879
AS_0165,共和,南投縣,集集鎮,120.7396506,23.83131689
AS_0166,共和村,南投縣,魚池鄉,120.9625346,23.90334523
AS_0167,同富國中,南投縣,信義鄉,120.8862767,23.59570718
AS_0168,名間派出所,南投縣,名間鄉,120.7097836,23.83538153
AS_0169,向山,南投縣,魚池鄉,120.9053632,23.84749164
AS_0170,曲冰,南投縣,仁愛鄉,121.0797083,23.95523428
AS_0171,竹山．三塊厝,南投縣,竹山鎮,120.7025601,23.75544933
AS_0172,竹山．山腳,南投縣,竹山鎮,120.7166655,23.80227694
AS_0173,竹山．桃子園,南投縣,竹山鎮,120.7216283,23.79691601
AS_0174,竹山．神社,南投縣,竹山鎮,120.6728807,23.76137615
AS_0175,竹仔坪 Ⅰ,南投縣,國姓鄉,120.871843,24.03947432
AS_0176,竹仔坪 Ⅱ,南投縣,國姓鄉,120.8762169,24.042873
AS_0177,老庄子,南投縣,國姓鄉,120.8760251,24.07978036
AS_0178,自強國小,南投縣,信義鄉,120.8561774,23.66886396
AS_0179,吳厝,南投縣,集集鎮,120.7878597,23.82440979
AS_0180,坑口埤,南投縣,集集鎮,120.7763458,23.83072421
AS_0181,尾厝仔,南投縣,竹山鎮,120.6966873,23.78466083
AS_0182,沙吧蘭,南投縣,魚池鄉,120.9133757,23.84676721
AS_0183,沙里仙,南投縣,信義鄉,120.9209574,23.54012294
AS_0184,赤崁庄,南投縣,埔里鎮,120.9321297,23.99330922
AS_0185,赤崁頂農場,南投縣,埔里鎮,120.9458393,23.99625382
AS_0186,赤蘭坪,南投縣,國姓鄉,120.8102768,24.02502853
AS_0187,兒象天,南投縣,集集鎮,120.7365252,23.83716609
AS_0188,和社半路店,南投縣,信義鄉,120.8649997,23.56348439
AS_0189,坪仔頂,南投縣,埔里鎮,120.9445817,23.96475089
AS_0190,坪頂埔,南投縣,竹山鎮,120.6893333,23.7821827
